Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/aweeeezy/bin/school/spring2018/172 Enterprise Software/Enterprise-Software/karaf_tutorials/apache-karaf-4.0.10/lock
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-02-15 09:18:35,965 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.felix.eventadmin.impl.EventAdmin.cfg
2018-02-15 09:18:35,969 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.feature.cfg
2018-02-15 09:18:35,971 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.ops4j.pax.url.mvn.cfg
2018-02-15 09:18:35,974 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.scope_bundle.cfg
2018-02-15 09:18:35,976 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.log.cfg
2018-02-15 09:18:35,978 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.kar.cfg
2018-02-15 09:18:35,980 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.shell.cfg
2018-02-15 09:18:35,983 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.org.apache.karaf.config.cfg
2018-02-15 09:18:35,985 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.kar.cfg
2018-02-15 09:18:35,987 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.features.cfg
2018-02-15 09:18:35,990 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.features.repos.cfg
2018-02-15 09:18:35,992 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.org.apache.karaf.bundle.cfg
2018-02-15 09:18:35,994 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.cfg
2018-02-15 09:18:35,997 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.osgi.compendium.cm.cfg
2018-02-15 09:18:35,999 | INFO  | FelixStartLevel  | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.system.cfg
2018-02-15 09:18:36,535 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 | Adding features: instance/[4.0.10,4.0.10], package/[4.0.10,4.0.10], log/[4.0.10,4.0.10], ssh/[4.0.10,4.0.10], aries-blueprint/[4.0.10,4.0.10], framework/[4.0.10,4.0.10], system/[4.0.10,4.0.10], feature/[4.0.10,4.0.10], shell/[4.0.10,4.0.10], management/[4.0.10,4.0.10], service/[4.0.10,4.0.10], jaas/[4.0.10,4.0.10], shell-compat/[4.0.10,4.0.10], deployer/[4.0.10,4.0.10], diagnostic/[4.0.10,4.0.10], wrap/[0,0.0.0], bundle/[4.0.10,4.0.10], config/[4.0.10,4.0.10], kar/[4.0.10,4.0.10]
2018-02-15 09:18:36,735 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 | Changes to perform:
2018-02-15 09:18:36,735 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   Region: root
2018-02-15 09:18:36,735 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |     Bundles to install:
